experiment_id,date,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,PET
Angers_brainsurlauthion_2011,2010-01-01,0.23,-1.79,4.03,0.53,4.99,89.44,0.4200453903592232
Angers_brainsurlauthion_2011,2010-01-02,-0.65,-3.31,4.09,0.01,5.89,85.69,0.24933678204044016
Angers_brainsurlauthion_2011,2010-01-03,-0.67,-2.18,1.63,0.19,3.9,86.5,0.47140685209428723
Angers_brainsurlauthion_2011,2010-01-04,-3.52,-5.39,-0.11,0.08,5.67,85.62,0.49498052163547285
Angers_brainsurlauthion_2011,2010-01-05,-3.56,-5.82,0.39,0,6.15,85.81,0.3535810427728815
Angers_brainsurlauthion_2011,2010-01-06,-0.85,-4.08,3.25,1.95,4.57,94.88,0.29540223560892526
Angers_brainsurlauthion_2011,2010-01-07,-2.6,-6.1,1.4,0.29,4.74,92.56,0.3080689104479068
Angers_brainsurlauthion_2011,2010-01-08,-3.57,-6.54,-0.54,0.03,5.04,91.19,0.28037718330891337
Angers_brainsurlauthion_2011,2010-01-09,-4.06,-6.7,-1.27,0.08,2.87,88.12,0.43103813717708156
Angers_brainsurlauthion_2011,2010-01-10,-2.7,-4.75,0.52,0.04,2.3,91.56,0.3356989958335018
Angers_brainsurlauthion_2011,2010-01-11,-3.44,-6.42,1.02,0,3.23,90.81,0.2856094806937271
Angers_brainsurlauthion_2011,2010-01-12,-3.06,-6.38,0.09,8.6,2.43,94,0.29078772197057606
Angers_brainsurlauthion_2011,2010-01-13,2.4,0.99,4.56,3.27,6.22,99.81,0.07759445299312764
Angers_brainsurlauthion_2011,2010-01-14,1.63,0.65,4.01,1.73,3.86,97.88,0.27555773192402594
Angers_brainsurlauthion_2011,2010-01-15,1.16,-0.17,4.45,0.24,3.74,98.19,0.32090317274626956
Angers_brainsurlauthion_2011,2010-01-16,5.08,-0.31,9.98,8.12,1.51,96.94,0.4608309729534761
Angers_brainsurlauthion_2011,2010-01-17,5.5,1.71,10.5,0.32,6.77,95.19,0.35854855114235606
Angers_brainsurlauthion_2011,2010-01-18,2.8,0.2,6.61,0.12,3.79,96,0.35507115285536117
Angers_brainsurlauthion_2011,2010-01-19,0.94,-0.4,3.2,0.61,4.67,93.06,0.39553511048400747
Angers_brainsurlauthion_2011,2010-01-20,4.42,0.1,9.52,4.35,6.27,94.94,0.358160980104966
Angers_brainsurlauthion_2011,2010-01-21,3.5,0.99,7.58,0.19,4.35,96.38,0.4084110681925699
Angers_brainsurlauthion_2011,2010-01-22,5.43,3.23,9.37,0.61,2.48,89.5,0.7823771371445986
Angers_brainsurlauthion_2011,2010-01-23,3.24,2.11,4.69,10.44,2.2,95.06,0.34927275584155326
Angers_brainsurlauthion_2011,2010-01-24,3.37,-1.1,7.89,0.51,3.98,91.19,0.48216700325241085
Angers_brainsurlauthion_2011,2010-01-25,1.7,-1.19,5.77,0.17,4.42,94.19,0.3754708240161217
