experiment_id,management,crop_type,crop_season,species,species_mix,cultivar,cultivar_mix,density_level,density_relative,density_factor,interrow,mixing_pattern,code_row,mixture_design,sowing_date,harvest_date,N_amount,N_fertilisation_number,N_fertilisation_dose_1,N_fertilisation_dose_2,N_fertilisation_dose_3,N_fertilisation_date_1,N_fertilisation_date_2,N_fertilisation_date_3,N_fertilisation_type,N_fertiliser,irrigation_amount,P_amount,pest_control
Angers_brainsurlauthion_2011,M1,SC,winter,wheat_aestivum,wheat_aestivum,cezanne,cezanne,250,1,1,0.17,NA,NA,NA,2010-10-29,2011-07-06,140,1,140,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_brainsurlauthion_2011,M2,SC,winter,pea,pea,aoph10,aoph10,80,1,1,0.17,NA,NA,NA,2010-10-29,2011-06-21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_brainsurlauthion_2011,M3,SC,winter,pea,pea,lucy,lucy,80,1,1,0.17,NA,NA,NA,2010-10-29,2011-06-16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_brainsurlauthion_2011,M4,SC,winter,pea,pea,88601,88601,40,1,1,0.17,NA,NA,NA,2010-10-29,2011-06-28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_brainsurlauthion_2011,M5,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_aoph10,125,0.5,0.5_0.5,0.17,within_row,NA,substitutive,2010-10-29,2011-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_brainsurlauthion_2011,M6,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_lucy,125,0.5,0.5_0.5,0.17,within_row,NA,substitutive,2010-10-29,2011-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_brainsurlauthion_2011,M7,IC,winter,wheat_aestivum,wheat_aestivum_pea,cezanne,cezanne_88601,125,0.5,0.5_0.5,0.17,within_row,NA,substitutive,2010-10-29,2011-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_brainsurlauthion_2011,M5,IC,winter,pea,wheat_aestivum_pea,aoph10,cezanne_aoph10,40,0.5,0.5_0.5,0.17,within_row,NA,substitutive,2010-10-29,2011-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_brainsurlauthion_2011,M6,IC,winter,pea,wheat_aestivum_pea,lucy,cezanne_lucy,40,0.5,0.5_0.5,0.17,within_row,NA,substitutive,2010-10-29,2011-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_brainsurlauthion_2011,M7,IC,winter,pea,wheat_aestivum_pea,88601,cezanne_88601,20,0.5,0.5_0.5,0.17,within_row,NA,substitutive,2010-10-29,2011-07-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,yes
Angers_fnams_2002,M1,SC,spring,barley,barley,scarlett,scarlett,120,1,1,0.15,NA,NA,NA,2002-03-28,2002-07-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2002,M2,SC,spring,pea,pea,baccara,baccara,80,1,1,0.15,NA,NA,NA,2002-03-28,2002-07-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2002,M3,IC,spring,barley,barley_pea,scarlett,scarlett_baccara,40,0.33,0.33_1,0.15,alternate_row,1_1,additive,2002-03-28,2002-07-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2002,M3,IC,spring,pea,barley_pea,baccara,scarlett_baccara,80,1,0.33_1,0.15,alternate_row,1_1,additive,2002-03-28,2002-07-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2003,M1,SC,spring,barley,barley,scarlett,scarlett,250,1,1,0.15,NA,NA,NA,2003-03-12,2003-07-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2003,M2,SC,spring,barley,barley,scarlett,scarlett,250,1,1,0.15,NA,NA,NA,2003-03-12,2003-07-08,130,1,130,NA,NA,2003-03-12,NA,NA,mineral,NH4NO3,105,0,yes
Angers_fnams_2003,M3,SC,spring,pea,pea,baccara,baccara,80,1,1,0.15,NA,NA,NA,2003-03-12,2003-07-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2003,M4,SC,spring,pea,pea,baccara,baccara,80,1,1,0.15,NA,NA,NA,2003-03-12,2003-07-08,130,1,130,NA,NA,2003-03-12,NA,NA,mineral,NH4NO3,105,0,yes
Angers_fnams_2003,M5,IC,spring,barley,barley_pea,scarlett,scarlett_baccara,125,0.5,0.5_0.5,0.15,alternate_row,1_1,substitutive,2003-03-12,2003-07-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2003,M6,IC,spring,barley,barley_pea,scarlett,scarlett_baccara,125,0.5,0.5_0.5,0.15,alternate_row,1_1,substitutive,2003-03-12,2003-07-08,130,1,130,NA,NA,2003-03-12,NA,NA,mineral,NH4NO3,105,0,yes
Angers_fnams_2003,M7,IC,spring,barley,barley_pea,scarlett,scarlett_baccara,125,0.5,0.5_1,0.15,alternate_row,1_1,additive,2003-03-12,2003-07-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2003,M8,IC,spring,barley,barley_pea,scarlett,scarlett_baccara,125,0.5,0.5_1,0.15,alternate_row,1_1,additive,2003-03-12,2003-07-08,130,1,130,NA,NA,2003-03-12,NA,NA,mineral,NH4NO3,105,0,yes
Angers_fnams_2003,M5,IC,spring,pea,barley_pea,baccara,scarlett_baccara,40,0.5,0.5_0.5,0.15,alternate_row,1_1,substitutive,2003-03-12,2003-07-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2003,M6,IC,spring,pea,barley_pea,baccara,scarlett_baccara,40,0.5,0.5_0.5,0.15,alternate_row,1_1,substitutive,2003-03-12,2003-07-08,130,1,130,NA,NA,2003-03-12,NA,NA,mineral,NH4NO3,105,0,yes
Angers_fnams_2003,M7,IC,spring,pea,barley_pea,baccara,scarlett_baccara,80,1,0.5_1,0.15,alternate_row,1_1,additive,2003-03-12,2003-07-08,0,0,0,NA,NA,NA,NA,NA,NA,NA,105,0,yes
Angers_fnams_2003,M8,IC,spring,pea,barley_pea,baccara,scarlett_baccara,80,1,0.5_1,0.15,alternate_row,1_1,additive,2003-03-12,2003-07-08,130,1,130,NA,NA,2003-03-12,NA,NA,mineral,NH4NO3,105,0,yes
