experiment_id,management,crop_type,crop_season,plant_family,species,species_mix,sowing_date,harvest_date,biomass_seed,plant_density,density_relative,density_factor,n_amount,cultivar,cultivar_mix,cultivar_management,cultivar_mix_management,density_factor_management,interrow,mixing_pattern,code_row,mixture_design,n_fertilisation_type,n_fertiliser,irrigation_amount,p_amount,pest_control,country,site,plot_name,plot_long,soil_awc,soil_clay,soil_sand,soil_silt,soil_ph,previous_crop,nitrogen_residual,heat_stress_days,total_precipitation,total_solar_radiation,high_humidity_days,growing_days,density_error,density_n_ratio,crowding,soil_water_capacity,NUE,GDD
Angers_fnams_2002,M3,IC,spring,cereal,barley,barley_pea,2002-03-28,2002-07-08,1.3,33.0,0.33,0.33_1,0,scarlett,scarlett_baccara,scarlett,scarlett_baccara,0.33_1,0.15,alternate_row,1_1,additive,na,na,105.0,0,yes,France,Angers,fnams,-0.4,70.0,0.15,0.278,0.4216,6.0,mustard,22.0,0,1643.07,8682.13,548,102,-7.0,inf,0,0.25676,,792.537904109589
Angers_fnams_2002,M3,IC,spring,legume,pea,barley_pea,2002-03-28,2002-07-08,3.4000000000000004,54.0,1.0,0.33_1,0,baccara,scarlett_baccara,baccara,scarlett_baccara,0.33_1,0.15,alternate_row,1_1,additive,na,na,105.0,0,yes,France,Angers,fnams,-0.4,70.0,0.15,0.278,0.4216,6.0,mustard,22.0,0,1643.07,8682.13,548,102,-26.0,inf,0,0.25676,,792.537904109589
Angers_fnams_2003,M5,IC,spring,cereal,barley,barley_pea,2003-03-12,2003-07-08,1.9688695969649723,100.0,0.5,0.5_0.5,0,scarlett,scarlett_baccara,scarlett,scarlett_baccara,0.5_0.5,0.15,alternate_row,1_1,substitutive,na,na,105.0,0,yes,France,Angers,fnams,-0.4,291.5,0.15,0.278,0.4216,6.0,barley,71.0,15,1451.31,9007.49,462,118,-25.0,inf,0,0.25676,,1173.3960410958903
Angers_fnams_2003,M5,IC,spring,legume,pea,barley_pea,2003-03-12,2003-07-08,4.321119546427844,45.0,0.5,0.5_0.5,0,baccara,scarlett_baccara,baccara,scarlett_baccara,0.5_0.5,0.15,alternate_row,1_1,substitutive,na,na,105.0,0,yes,France,Angers,fnams,-0.4,291.5,0.15,0.278,0.4216,6.0,barley,71.0,15,1451.31,9007.49,462,118,5.0,inf,0,0.25676,,1173.3960410958903
Angers_fnams_2003,M6,IC,spring,cereal,barley,barley_pea,2003-03-12,2003-07-08,4.490746031967354,127.0,0.5,0.5_0.5,130,scarlett,scarlett_baccara,scarlett,scarlett_baccara,0.5_0.5,0.15,alternate_row,1_1,substitutive,mineral,NH4NO3,105.0,0,yes,France,Angers,fnams,-0.4,291.5,0.15,0.278,0.4216,6.0,barley,71.0,15,1451.31,9007.49,462,118,2.0,0.9769230769230769,0,0.25676,0.03454420024590272,1173.3960410958903
Angers_fnams_2003,M6,IC,spring,legume,pea,barley_pea,2003-03-12,2003-07-08,2.165451906133854,43.0,0.5,0.5_0.5,130,baccara,scarlett_baccara,baccara,scarlett_baccara,0.5_0.5,0.15,alternate_row,1_1,substitutive,mineral,NH4NO3,105.0,0,yes,France,Angers,fnams,-0.4,291.5,0.15,0.278,0.4216,6.0,barley,71.0,15,1451.31,9007.49,462,118,3.0,0.33076923076923076,0,0.25676,0.0166573223548758,1173.3960410958903
Angers_jailliere_2007,M1,SC,winter,cereal,wheat_aestivum,wheat_aestivum,2006-10-31,2007-06-29,5.1047484276729564,193.4974747474748,1.0,1,0,cezanne,cezanne,cezanne,cezanne,1,0.175,na,na,na,na,na,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-66.5025252525252,inf,0,0.31420000000000003,,2317.0895479452056
Angers_jailliere_2007,M2,SC,winter,cereal,wheat_aestivum,wheat_aestivum,2006-10-31,2007-06-29,7.6869811320754735,198.8636363636364,1.0,1,190,cezanne,cezanne,cezanne,cezanne,1,0.175,na,na,na,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-61.1363636363636,1.0466507177033495,0,0.31420000000000003,0.040457795431976175,2317.0895479452056
Angers_jailliere_2007,M3,SC,winter,cereal,wheat_aestivum,wheat_aestivum,2006-10-31,2007-06-29,5.7731761006289295,196.6540404040404,1.0,1,45,cezanne,cezanne,cezanne,cezanne,1,0.175,na,na,na,mineral,NH4NO3,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-63.34595959595961,4.370089786756453,0,0.31420000000000003,0.12829280223619843,2317.0895479452056
Angers_jailliere_2007,M5,IC,winter,legume,pea,wheat_aestivum_pea,2006-10-31,2007-06-29,2.820583976984117,34.56439393939394,0.5,0.5_0.5,0,lucy,cezanne_lucy,lucy,cezanne_lucy,0.5_0.5,0.175,within_row,na,substitutive,na,na,0.0,0,yes,France,Angers,jailliere,-0.962133,291.5,0.164,0.261,0.575,6.3,unknown,64.5,11,1636.91,9026.1,500,241,-5.435606060606062,inf,0,0.31420000000000003,,2317.0895479452056
